fir_id,crime_type,location_type,state,time_of_day,weapon_used,entry_method,target_type,suspect_age_group,prior_record,accomplice_count,evidence_recovered,digital_evidence,mo_tags,mo_text,severity_score,recidivism
FIR-00045,drug_offense,parking_lot,TN,midnight,knife,none,financial_institution,36-45,0,3,0,0,accomplice_involved|opportunistic|escape_vehicle_used|insider_help|multiple_offenders,At least one accomplice was involved in the act. crime appears to be opportunistic in nature. suspect escaped using a vehicle. insider assistance may have been involved. multiple offenders participated.,5,0
FIR-00046,murder,residential_area,UP,morning,improvised_tool,forced_entry,individual,60+,1,1,0,0,use_of_disguise|insider_help|local_knowledge,Suspect used a disguise to conceal identity. insider assistance may have been involved. suspect demonstrated knowledge of the local area.,10,0
FIR-00047,fraud,parking_lot,TN,night,none,impersonation,individual,juvenile,0,0,1,1,insider_help|escape_vehicle_used|accomplice_involved|planned_operation,Insider assistance may have been involved. suspect escaped using a vehicle. at least one accomplice was involved in the act. evidence of pre-planned operation.,8,0
FIR-00048,assault,bank_premises,AP,evening,knife,none,individual,36-45,0,0,1,0,opportunistic|use_of_disguise|accomplice_involved,Crime appears to be opportunistic in nature. suspect used a disguise to conceal identity. at least one accomplice was involved in the act.,6,0
FIR-00049,vandalism,educational_institution,MP,midnight,blunt_object,none,public_space,60+,1,1,0,0,escape_vehicle_used|physical_restraint|repeat_target|psychological_manipulation|planned_operation,Suspect escaped using a vehicle. victim was physically restrained. location or victim was targeted previously. victim was manipulated psychologically. evidence of pre-planned operation.,3,1
FIR-00050,kidnapping,educational_institution,AP,early_morning,chemical,social_engineering,individual,juvenile,0,1,1,0,evidence_concealment|multiple_offenders,Suspect attempted to conceal evidence. multiple offenders participated.,9,0
FIR-00051,vehicle_theft,residential_area,GJ,early_morning,none,lock_picking,vehicle,46-60,0,0,0,0,physical_restraint|opportunistic,Victim was physically restrained. crime appears to be opportunistic in nature.,3,0
FIR-00052,drug_offense,educational_institution,PB,afternoon,chemical,none,public_space,60+,1,1,1,0,lone_wolf|accomplice_involved,Single offender acted alone. at least one accomplice was involved in the act.,4,1
FIR-00053,robbery,parking_lot,PB,early_morning,blunt_object,none,government_property,36-45,0,1,0,0,night_operation|psychological_manipulation|evidence_concealment|insider_help,Crime was executed during nighttime hours. victim was manipulated psychologically. suspect attempted to conceal evidence. insider assistance may have been involved.,9,1
FIR-00054,robbery,educational_institution,DL,midnight,knife,window_break,individual,36-45,1,1,0,0,local_knowledge|insider_help|opportunistic,Suspect demonstrated knowledge of the local area. insider assistance may have been involved. crime appears to be opportunistic in nature.,9,1
FIR-00055,kidnapping,public_transport,DL,afternoon,knife,social_engineering,individual,26-35,0,1,0,0,escape_vehicle_used|prior_surveillance|planned_operation|repeat_target,Suspect escaped using a vehicle. suspect conducted prior surveillance of the target. evidence of pre-planned operation. location or victim was targeted previously.,8,1
FIR-00056,vehicle_theft,public_transport,PB,early_morning,none,forced_entry,multiple,juvenile,0,4,0,0,planned_operation|multiple_offenders|lone_wolf,Evidence of pre-planned operation. multiple offenders participated. single offender acted alone.,3,1
FIR-00057,cybercrime,industrial_area,GJ,morning,none,unlocked_door,digital_asset,juvenile,0,1,0,1,psychological_manipulation|prior_surveillance|use_of_disguise,Victim was manipulated psychologically. suspect conducted prior surveillance of the target. suspect used a disguise to conceal identity.,4,1
FIR-00058,robbery,bank_premises,WB,midnight,knife,none,individual,26-35,0,0,1,0,accomplice_involved|insider_help,At least one accomplice was involved in the act. insider assistance may have been involved.,8,0
FIR-00059,murder,highway,MP,night,firearm,none,individual,46-60,1,0,1,0,night_operation|local_knowledge|escape_vehicle_used|accomplice_involved|psychological_manipulation,Crime was executed during nighttime hours. suspect demonstrated knowledge of the local area. suspect escaped using a vehicle. at least one accomplice was involved in the act. victim was manipulated psychologically.,10,0
FIR-00060,murder,rural_area,KA,evening,blunt_object,forced_entry,individual,60+,1,1,0,0,evidence_concealment|accomplice_involved|lone_wolf,Suspect attempted to conceal evidence. at least one accomplice was involved in the act. single offender acted alone.,9,0
FIR-00061,fraud,highway,MH,night,none,impersonation,financial_institution,60+,0,1,0,1,escape_vehicle_used|accomplice_involved|physical_restraint|use_of_technology,Suspect escaped using a vehicle. at least one accomplice was involved in the act. victim was physically restrained. digital tools or devices were used.,8,1
FIR-00062,robbery,parking_lot,TS,evening,firearm,social_engineering,multiple,60+,0,1,0,0,prior_surveillance|use_of_disguise|repeat_target|escape_vehicle_used,Suspect conducted prior surveillance of the target. suspect used a disguise to conceal identity. location or victim was targeted previously. suspect escaped using a vehicle.,8,0
FIR-00063,assault,bank_premises,RJ,night,none,none,household,18-25,1,0,0,0,opportunistic|evidence_concealment|repeat_target|escape_vehicle_used,Crime appears to be opportunistic in nature. suspect attempted to conceal evidence. location or victim was targeted previously. suspect escaped using a vehicle.,7,1
FIR-00064,assault,highway,TN,afternoon,none,none,individual,26-35,0,1,1,0,escape_vehicle_used|planned_operation,Suspect escaped using a vehicle. evidence of pre-planned operation.,7,1
FIR-00065,burglary,rural_area,MH,night,blunt_object,lock_picking,government_property,juvenile,0,1,0,0,opportunistic|use_of_disguise|planned_operation|use_of_technology|escape_vehicle_used,Crime appears to be opportunistic in nature. suspect used a disguise to conceal identity. evidence of pre-planned operation. digital tools or devices were used. suspect escaped using a vehicle.,7,1
FIR-00066,kidnapping,highway,DL,early_morning,vehicle,social_engineering,individual,26-35,1,0,1,0,opportunistic|local_knowledge|physical_restraint|insider_help,Crime appears to be opportunistic in nature. suspect demonstrated knowledge of the local area. victim was physically restrained. insider assistance may have been involved.,9,0
FIR-00067,robbery,rural_area,DL,evening,firearm,none,financial_institution,18-25,0,0,0,0,planned_operation|lone_wolf,Evidence of pre-planned operation. single offender acted alone.,8,0
FIR-00068,robbery,marketplace,HR,night,firearm,none,financial_institution,46-60,0,1,1,0,psychological_manipulation|use_of_disguise|insider_help|accomplice_involved,Victim was manipulated psychologically. suspect used a disguise to conceal identity. insider assistance may have been involved. at least one accomplice was involved in the act.,9,1
FIR-00069,vandalism,commercial_zone,AP,night,improvised_tool,none,household,46-60,0,1,0,0,accomplice_involved|insider_help|local_knowledge|physical_restraint|psychological_manipulation,At least one accomplice was involved in the act. insider assistance may have been involved. suspect demonstrated knowledge of the local area. victim was physically restrained. victim was manipulated psychologically.,4,1
FIR-00070,burglary,marketplace,MP,midnight,none,lock_picking,commercial_establishment,46-60,0,0,1,0,escape_vehicle_used|lone_wolf|repeat_target|planned_operation,Suspect escaped using a vehicle. single offender acted alone. location or victim was targeted previously. evidence of pre-planned operation.,6,1
FIR-00071,robbery,industrial_area,DL,evening,blunt_object,social_engineering,multiple,26-35,0,0,0,0,escape_vehicle_used|repeat_target|psychological_manipulation,Suspect escaped using a vehicle. location or victim was targeted previously. victim was manipulated psychologically.,8,0
FIR-00072,cybercrime,bank_premises,MH,evening,none,social_engineering,financial_institution,26-35,1,0,0,1,planned_operation|opportunistic|local_knowledge,Evidence of pre-planned operation. crime appears to be opportunistic in nature. suspect demonstrated knowledge of the local area.,4,1
FIR-00073,robbery,industrial_area,UP,night,blunt_object,none,financial_institution,18-25,0,0,1,0,lone_wolf|prior_surveillance|planned_operation,Single offender acted alone. suspect conducted prior surveillance of the target. evidence of pre-planned operation.,9,1
FIR-00074,vandalism,rural_area,AP,midnight,improvised_tool,none,financial_institution,60+,0,0,0,0,physical_restraint|local_knowledge|planned_operation|use_of_technology|lone_wolf,Victim was physically restrained. suspect demonstrated knowledge of the local area. evidence of pre-planned operation. digital tools or devices were used. single offender acted alone.,2,1
FIR-00075,cybercrime,commercial_zone,KA,afternoon,none,unlocked_door,government_property,18-25,1,0,1,1,multiple_offenders|accomplice_involved|night_operation,Multiple offenders participated. at least one accomplice was involved in the act. crime was executed during nighttime hours.,5,0
FIR-00076,burglary,rural_area,UP,midnight,none,forced_entry,household,18-25,1,0,1,0,repeat_target|local_knowledge|escape_vehicle_used|insider_help|lone_wolf,Location or victim was targeted previously. suspect demonstrated knowledge of the local area. suspect escaped using a vehicle. insider assistance may have been involved. single offender acted alone.,5,1
FIR-00077,vehicle_theft,educational_institution,MH,night,none,roof_access,financial_institution,juvenile,1,4,0,0,use_of_disguise|accomplice_involved|multiple_offenders|insider_help|physical_restraint,Suspect used a disguise to conceal identity. at least one accomplice was involved in the act. multiple offenders participated. insider assistance may have been involved. victim was physically restrained.,5,1
FIR-00078,assault,bank_premises,DL,evening,blunt_object,none,individual,26-35,0,3,1,0,local_knowledge|multiple_offenders,Suspect demonstrated knowledge of the local area. multiple offenders participated.,7,0
FIR-00079,cybercrime,industrial_area,GJ,afternoon,none,tunneling,vehicle,juvenile,0,0,1,1,lone_wolf|escape_vehicle_used|insider_help,Single offender acted alone. suspect escaped using a vehicle. insider assistance may have been involved.,4,0
FIR-00080,burglary,educational_institution,HR,night,blunt_object,forced_entry,commercial_establishment,juvenile,0,2,0,0,escape_vehicle_used|multiple_offenders|local_knowledge|prior_surveillance,Suspect escaped using a vehicle. multiple offenders participated. suspect demonstrated knowledge of the local area. suspect conducted prior surveillance of the target.,6,0
FIR-00081,fraud,rural_area,KA,afternoon,none,impersonation,commercial_establishment,46-60,0,0,1,1,use_of_disguise|planned_operation|physical_restraint|evidence_concealment|use_of_technology,Suspect used a disguise to conceal identity. evidence of pre-planned operation. victim was physically restrained. suspect attempted to conceal evidence. digital tools or devices were used.,6,1
FIR-00082,cybercrime,rural_area,RJ,evening,none,social_engineering,individual,46-60,1,0,0,1,use_of_disguise|psychological_manipulation,Suspect used a disguise to conceal identity. victim was manipulated psychologically.,5,0
FIR-00083,assault,rural_area,AP,midnight,blunt_object,forced_entry,vehicle,36-45,1,0,1,0,lone_wolf|opportunistic|evidence_concealment,Single offender acted alone. crime appears to be opportunistic in nature. suspect attempted to conceal evidence.,5,1
FIR-00084,kidnapping,bank_premises,KA,afternoon,firearm,none,individual,juvenile,0,0,1,0,planned_operation|physical_restraint|repeat_target|escape_vehicle_used|insider_help,Evidence of pre-planned operation. victim was physically restrained. location or victim was targeted previously. suspect escaped using a vehicle. insider assistance may have been involved.,8,1
FIR-00085,assault,educational_institution,KL,evening,none,tunneling,individual,18-25,0,0,0,0,escape_vehicle_used|use_of_technology|night_operation,Suspect escaped using a vehicle. digital tools or devices were used. crime was executed during nighttime hours.,5,1
FIR-00086,murder,commercial_zone,RJ,evening,none,forced_entry,individual,26-35,0,0,1,0,multiple_offenders|local_knowledge|planned_operation|physical_restraint|accomplice_involved,Multiple offenders participated. suspect demonstrated knowledge of the local area. evidence of pre-planned operation. victim was physically restrained. at least one accomplice was involved in the act.,10,1
FIR-00087,murder,commercial_zone,UP,midnight,blunt_object,none,individual,46-60,1,1,0,0,psychological_manipulation|lone_wolf|escape_vehicle_used,Victim was manipulated psychologically. single offender acted alone. suspect escaped using a vehicle.,10,1
FIR-00088,cybercrime,parking_lot,UP,evening,none,cyber_access,digital_asset,46-60,1,4,1,1,accomplice_involved|multiple_offenders|lone_wolf|prior_surveillance,At least one accomplice was involved in the act. multiple offenders participated. single offender acted alone. suspect conducted prior surveillance of the target.,6,1
FIR-00089,vehicle_theft,marketplace,HR,evening,improvised_tool,lock_picking,vehicle,18-25,0,1,1,0,physical_restraint|insider_help|accomplice_involved|escape_vehicle_used|prior_surveillance,Victim was physically restrained. insider assistance may have been involved. at least one accomplice was involved in the act. suspect escaped using a vehicle. suspect conducted prior surveillance of the target.,4,1
FIR-00090,vehicle_theft,rural_area,MP,night,vehicle,unlocked_door,commercial_establishment,46-60,1,0,0,0,lone_wolf|accomplice_involved|repeat_target,Single offender acted alone. at least one accomplice was involved in the act. location or victim was targeted previously.,3,1
FIR-00091,cybercrime,industrial_area,MP,night,none,cyber_access,financial_institution,36-45,0,0,1,1,evidence_concealment|prior_surveillance|accomplice_involved|planned_operation,Suspect attempted to conceal evidence. suspect conducted prior surveillance of the target. at least one accomplice was involved in the act. evidence of pre-planned operation.,4,0
FIR-00092,burglary,highway,BR,midnight,blunt_object,window_break,household,18-25,1,0,1,0,local_knowledge|opportunistic|prior_surveillance|planned_operation,Suspect demonstrated knowledge of the local area. crime appears to be opportunistic in nature. suspect conducted prior surveillance of the target. evidence of pre-planned operation.,7,1
FIR-00093,drug_offense,industrial_area,RJ,midnight,none,none,individual,juvenile,1,0,0,0,escape_vehicle_used|local_knowledge|use_of_disguise|night_operation,Suspect escaped using a vehicle. suspect demonstrated knowledge of the local area. suspect used a disguise to conceal identity. crime was executed during nighttime hours.,5,1
FIR-00094,burglary,industrial_area,AP,midnight,none,unlocked_door,commercial_establishment,36-45,0,4,1,0,psychological_manipulation|use_of_technology|multiple_offenders|lone_wolf,Victim was manipulated psychologically. digital tools or devices were used. multiple offenders participated. single offender acted alone.,7,1
FIR-00095,murder,parking_lot,KA,afternoon,none,none,individual,36-45,0,1,0,0,accomplice_involved|physical_restraint|insider_help,At least one accomplice was involved in the act. victim was physically restrained. insider assistance may have been involved.,10,0
FIR-00096,vehicle_theft,highway,HR,early_morning,improvised_tool,lock_picking,vehicle,46-60,0,1,1,0,accomplice_involved|escape_vehicle_used|use_of_disguise|use_of_technology|night_operation,At least one accomplice was involved in the act. suspect escaped using a vehicle. suspect used a disguise to conceal identity. digital tools or devices were used. crime was executed during nighttime hours.,5,1
FIR-00097,fraud,public_transport,MP,evening,none,tunneling,individual,26-35,1,1,1,1,physical_restraint|escape_vehicle_used|night_operation|lone_wolf,Victim was physically restrained. suspect escaped using a vehicle. crime was executed during nighttime hours. single offender acted alone.,7,0
FIR-00098,drug_offense,rural_area,KA,midnight,knife,none,digital_asset,18-25,1,1,0,0,escape_vehicle_used|lone_wolf,Suspect escaped using a vehicle. single offender acted alone.,5,1
FIR-00099,vehicle_theft,public_transport,DL,afternoon,none,window_break,vehicle,juvenile,1,1,1,0,night_operation|psychological_manipulation|local_knowledge|use_of_disguise|prior_surveillance,Crime was executed during nighttime hours. victim was manipulated psychologically. suspect demonstrated knowledge of the local area. suspect used a disguise to conceal identity. suspect conducted prior surveillance of the target.,3,0
FIR-00100,murder,bank_premises,KL,midnight,firearm,none,individual,60+,0,0,1,0,opportunistic|planned_operation,Crime appears to be opportunistic in nature. evidence of pre-planned operation.,9,0
FIR-00101,murder,rural_area,WB,evening,knife,window_break,individual,26-35,0,2,0,0,repeat_target|multiple_offenders|use_of_technology|insider_help|evidence_concealment,Location or victim was targeted previously. multiple offenders participated. digital tools or devices were used. insider assistance may have been involved. suspect attempted to conceal evidence.,9,0
FIR-00102,murder,industrial_area,PB,evening,none,forced_entry,individual,46-60,0,1,1,0,multiple_offenders|use_of_technology|opportunistic|accomplice_involved|planned_operation,Multiple offenders participated. digital tools or devices were used. crime appears to be opportunistic in nature. at least one accomplice was involved in the act. evidence of pre-planned operation.,9,0
FIR-00103,fraud,parking_lot,AP,early_morning,none,social_engineering,government_property,60+,1,1,1,1,insider_help|prior_surveillance|psychological_manipulation|accomplice_involved,Insider assistance may have been involved. suspect conducted prior surveillance of the target. victim was manipulated psychologically. at least one accomplice was involved in the act.,6,1
FIR-00104,robbery,parking_lot,RJ,midnight,knife,none,financial_institution,26-35,0,1,1,0,planned_operation|local_knowledge|night_operation|psychological_manipulation|physical_restraint,Evidence of pre-planned operation. suspect demonstrated knowledge of the local area. crime was executed during nighttime hours. victim was manipulated psychologically. victim was physically restrained.,7,0
FIR-00105,robbery,commercial_zone,TN,early_morning,knife,none,financial_institution,60+,0,1,1,0,use_of_disguise|lone_wolf|use_of_technology|insider_help|prior_surveillance,Suspect used a disguise to conceal identity. single offender acted alone. digital tools or devices were used. insider assistance may have been involved. suspect conducted prior surveillance of the target.,9,1
FIR-00106,vandalism,public_transport,DL,midnight,rope,none,government_property,46-60,1,0,1,0,use_of_disguise|use_of_technology|prior_surveillance|accomplice_involved,Suspect used a disguise to conceal identity. digital tools or devices were used. suspect conducted prior surveillance of the target. at least one accomplice was involved in the act.,3,0
FIR-00107,kidnapping,highway,TS,morning,knife,impersonation,individual,juvenile,0,0,0,0,escape_vehicle_used|accomplice_involved|use_of_disguise,Suspect escaped using a vehicle. at least one accomplice was involved in the act. suspect used a disguise to conceal identity.,9,0
FIR-00108,burglary,marketplace,UP,afternoon,blunt_object,window_break,financial_institution,26-35,1,0,0,0,accomplice_involved|local_knowledge,At least one accomplice was involved in the act. suspect demonstrated knowledge of the local area.,7,1
FIR-00109,vehicle_theft,bank_premises,HR,early_morning,none,lock_picking,vehicle,18-25,0,1,1,0,repeat_target|use_of_technology,Location or victim was targeted previously. digital tools or devices were used.,3,0
FIR-00110,vehicle_theft,highway,WB,night,improvised_tool,unlocked_door,vehicle,46-60,1,0,1,0,local_knowledge|evidence_concealment|use_of_technology|opportunistic,Suspect demonstrated knowledge of the local area. suspect attempted to conceal evidence. digital tools or devices were used. crime appears to be opportunistic in nature.,4,1
